VehicleNumber,Time,Longitude,Lattitude,Line
5248,2024-02-21 20:45:58,20.8615842,52.1906073,401
5251,2024-02-21 20:45:57,20.9405128,52.2039015,187
5254,2024-02-21 20:46:00,20.900676,52.239053,105
5255,2024-02-21 20:45:56,20.9201269,52.2575672,184
5257,2024-02-21 20:46:02,20.9123712,52.2388598,177
5258,2024-02-21 20:45:57,20.964118,52.20808,184
5260,2024-02-21 20:45:56,21.0242644,52.2001135,172
5401,2024-02-21 20:46:04,21.0588779,52.284372,512
5404,2024-02-21 20:46:04,21.038284,52.252357,138
5407,2024-02-21 20:45:59,21.0466135,52.1428986,503
5408,2024-02-21 20:46:03,21.082214,52.276123,156
5409,2024-02-21 20:46:03,21.0024054,52.4459635,735
5411,2024-02-21 20:45:55,20.925789,52.234066,190
5414,2024-02-21 20:46:01,21.0419424,52.3004462,245
5416,2024-02-21 20:46:00,21.044132,52.278107,160
5417,2024-02-21 20:45:58,20.967573,52.271744,735
5418,2024-02-21 20:46:03,20.9249659,52.2608029,112
5419,2024-02-21 20:46:03,21.082174,52.294994,190
5424,2024-02-21 20:46:03,21.0441887,52.265966,120
5425,2024-02-21 20:45:59,20.8973547,52.2244379,112
5427,2024-02-21 20:46:03,21.067595,52.324162,132
5428,2024-02-21 20:46:03,20.944551,52.32238,509
5429,2024-02-21 20:46:04,21.0410897,52.2960811,112
5433,2024-02-21 20:46:00,21.014116,52.275276,509
5434,2024-02-21 20:46:01,21.000134,52.291313,731
5435,2024-02-21 20:46:00,21.048397,52.288452,120
5436,2024-02-21 20:46:03,21.130564,52.279858,245
5437,2024-02-21 20:46:01,21.079767,52.29213,140
5439,2024-02-21 20:46:01,21.061817,52.361736,120
5440,2024-02-21 20:46:03,21.030752,52.253006,160
5441,2024-02-21 20:46:03,21.052988,52.276485,738
5442,2024-02-21 20:46:04,21.0434124,52.2655652,190
5443,2024-02-21 20:45:59,20.955975,52.339867,723
5444,2024-02-21 20:46:04,21.0603821,52.3150881,132
5445,2024-02-21 20:46:00,20.988155,52.239937,190
5446,2024-02-21 20:46:04,21.0511821,52.2525322,120
5448,2024-02-21 20:46:02,21.055435,52.296909,160
5449,2024-02-21 20:46:02,20.949162,52.238495,190
5450,2024-02-21 20:46:04,20.986328,52.256252,500
5451,2024-02-21 20:45:59,20.9428636,52.3486535,511
5453,2024-02-21 20:46:04,20.9420962,52.3482939,511
5454,2024-02-21 20:46:02,21.04796,52.270142,120
5455,2024-02-21 20:46:00,20.972546,52.320457,509
5457,2024-02-21 20:45:24,21.04414,52.265942,Z26
5458,2024-02-21 20:45:59,21.113026,52.294708,199
5459,2024-02-21 20:46:04,21.036713,52.255615,190
5460,2024-02-21 20:46:04,21.132669,52.247379,145
5870,2024-02-21 20:46:01,20.985762,52.204731,128
5871,2024-02-21 20:46:03,21.005739,52.248848,503
5872,2024-02-21 20:46:04,21.0465259,52.1903572,503
5873,2024-02-21 20:45:52,20.997961,52.187241,175
5876,2024-02-21 20:46:02,20.996233,52.188782,127
5878,2024-02-21 20:46:04,21.016001,52.23061,128
5879,2024-02-21 20:46:02,21.037191,52.16346,503
5880,2024-02-21 20:46:03,20.9782699,52.1695067,175
5881,2024-02-21 20:46:04,21.0355839,52.2338567,127
5882,2024-02-21 20:46:04,20.996359,52.188869,519
